GeneID,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
APOL2,0.0,0.0,0.0,0.0,0.539039039039039,0.0,0.0,0.0
APOL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOH,0.0,0.0,0.0,0.0,0.539039039039039,0.0,0.0,0.0
APOF,0.0,0.0,0.8743743743743744,0.887887887887888,0.6191191191191192,0.8933933933933933,0.8778778778778779,0.0
APOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC4-APOC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC4,0.7892892892892893,0.9574574574574575,0.0,0.887887887887888,0.9004004004004005,0.8588588588588588,0.9109109109109109,0.8453453453453453
APOBEC3H,0.0,0.0,0.0,0.0,0.6476476476476476,0.0,0.0,0.0
APOBEC3G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3C,0.0,0.0,0.7272272272272272,0.6936936936936937,0.7347347347347347,0.0,0.7647647647647647,0.0
APOBEC3B-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3A_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC2,0.7892892892892893,0.8903903903903905,0.93993993993994,0.9144144144144144,0.8888888888888888,0.9329329329329329,0.9622986305586251,0.9594622095175602
APOBEC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6971971971971972
APOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA1-AS,0.8708708708708709,0.0,0.942447076971254,0.0,0.0,0.0,0.0,0.0
APOA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APMAP,0.9404404404404405,0.0,0.7587587587587588,0.9079079079079079,0.9419419419419419,0.914914914914915,0.8738738738738738,0.8993993993993994
APLP2,0.8353353353353354,0.8613613613613613,0.9419419419419419,0.9119119119119119,0.9527055755957797,0.9074074074074074,0.8703703703703705,0.9119119119119119
APLP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLN,0.0,0.0,0.0,0.0,0.0,0.7092092092092093,0.0,0.6196196196196196
APLF,0.0,0.0,0.0,0.7442442442442443,0.6476476476476476,0.0,0.7362362362362362,0.0
APIP,0.0,0.0,0.6666666666666666,0.6936936936936937,0.7162162162162162,0.8723723723723724,0.0,0.6971971971971972
API5,0.8353353353353354,0.9079079079079079,0.0,0.8188188188188188,0.8358358358358358,0.8033033033033032,0.8873873873873874,0.7372372372372372
APH1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APH1A,0.8708708708708709,0.0,0.7952952952952953,0.7572572572572573,0.8393393393393394,0.8958958958958959,0.9279279279279279,0.8453453453453453
APEX2,0.8353353353353354,0.0,0.0,0.0,0.6721721721721722,0.7877877877877878,0.0,0.6971971971971972
APEX1,0.9234234234234234,0.8613613613613613,0.8698698698698699,0.8943943943943944,0.8923923923923924,0.8828828828828829,0.8873873873873874,0.8838838838838838
APELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APEH,0.8918918918918919,0.8613613613613613,0.8643643643643644,0.7132132132132132,0.9004004004004005,0.8858858858858859,0.8978978978978979,0.9069069069069069
APCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCDD1L-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCDD1L,0.0,0.8183183183183182,0.0,0.6936936936936937,0.5085085085085085,0.0,0.0,0.0
APCDD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APC2,0.980980980980981,0.9694694694694694,0.9812008609976286,0.9781640098881614,0.9572097725007964,0.9782202357056942,0.9761077080086246,0.9752298127866368
APC,0.0,0.0,0.0,0.6531531531531531,0.8243243243243243,0.5940940940940941,0.7022022022022022,0.0
APBB3,0.0,0.9079079079079079,0.7097097097097097,0.8558558558558558,0.7997997997997999,0.7602602602602603,0.7767767767767768,0.6971971971971972
APBB2,0.0,0.0,0.7272272272272272,0.0,0.8618618618618619,0.8363363363363363,0.9179179179179179,0.8568568568568569
APBB1IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBA3,0.8708708708708709,0.9489489489489489,0.9259259259259259,0.8268268268268268,0.8618618618618619,0.9074074074074074,0.8628628628628628,0.8453453453453453
APBA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APAF1,0.0,0.0,0.0,0.6936936936936937,0.6721721721721722,0.7232232232232232,0.6626626626626626,0.0
AP5Z1,0.0,0.0,0.8518518518518519,0.0,0.0,0.6931931931931932,0.6626626626626626,0.6496496496496497
AP5S1,0.8353353353353354,0.0,0.0,0.0,0.539039039039039,0.0,0.0,0.0
AP5M1,0.0,0.8183183183183182,0.8383383383383383,0.8403403403403403,0.8673673673673674,0.8858858858858859,0.8218218218218218,0.7372372372372372
AP5B1,0.0,0.8183183183183182,0.0,0.0,0.7497497497497497,0.6931931931931932,0.7362362362362362,0.7372372372372372
AP4S1,0.8708708708708709,0.9796587546157178,0.9004004004004005,0.9544575063624251,0.9469469469469469,0.934934934934935,0.9532905845301836,0.9379379379379379
AP4M1,0.983983983983984,0.9829829829829829,0.9834723650931546,0.9768824911889232,0.9446142885696438,0.9807790744422551,0.9830119044382903,0.9726439192255679
AP4E1,0.0,0.0,0.0,0.6736736736736737,0.7767767767767768,0.0,0.6391391391391391,0.0
AP4B1-AS1,0.9948053716713001,0.991991991991992,0.9933914641254555,0.9942747074234959,0.9911821662812971,0.992643021388799,0.9948551156211786,0.992290358549895
AP4B1,0.8353353353353354,0.0,0.6666666666666666,0.0,0.6956956956956957,0.6576576576576576,0.0,0.7532532532532532
AP3S2,0.0,0.0,0.0,0.0,0.5085085085085085,0.0,0.0,0.0
AP3S1,0.0,0.0,0.0,0.7287287287287287,0.8283283283283283,0.8033033033033032,0.8283283283283283,0.6971971971971972
AP3M2,0.8353353353353354,0.0,0.9004004004004005,0.6531531531531531,0.7572572572572572,0.7487487487487487,0.7872872872872873,0.7807807807807807
AP3M1,0.9234234234234234,0.0,0.8383383383383383,0.0,0.7067067067067068,0.7702702702702703,0.7362362362362362,0.8968968968968969
AP3D1,0.0,0.8613613613613613,0.8448448448448449,0.0,0.7707707707707707,0.6381381381381381,0.8348348348348349,0.7667667667667668
AP3B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP3B1,0.0,0.8613613613613613,0.7847847847847849,0.7797797797797799,0.8433433433433433,0.7702702702702703,0.7362362362362362,0.8513513513513513
AP2S1,0.0,0.0,0.0,0.8458458458458458,0.8283283283283283,0.7092092092092093,0.7362362362362362,0.7667667667667668
