,5-AZA_150-1,5-AZA_150-2,5-AZA_150-3,5-AZA_33-1,5-AZA_33-2,5-AZA_33-3,5-AZA_con-1,5-AZA_con-2,5-AZA_con-3
FAM174A,0,0,0,0,0,0,0,0,0
FAM174B,1,0,0,0,0,6,0,0,0
FAM174C,90,96,62,486,722,365,438,452,257
FAM177A1,74,93,68,521,704,849,943,563,729
FAM177B,13,8,5,53,59,121,96,120,93
FAM178B,9,3,12,43,81,44,55,47,18
FAM180A,0,0,0,0,0,5,0,0,0
FAM180B,1,4,0,13,20,20,11,18,55
FAM181A,0,0,0,0,6,0,0,0,0
FAM181A-AS1,0,0,0,0,0,1,0,0,0
FAM181B,0,0,4,0,0,0,0,0,0
FAM182A,0,0,0,0,0,0,0,0,0
FAM182B,0,0,0,0,0,0,0,0,0
FAM183A,19,9,13,50,46,99,58,85,57
FAM183BP,0,0,0,0,0,0,0,0,0
FAM184A,1,2,2,7,16,18,24,25,17
