"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"BTN3A1",208.769565469168,-1.17138500261856,0.241955581435721,-4.84132250914721,1.28977847296001e-06,0.000114994499018326,"BTN3A1"
"H3C4",1231.3317206413,1.00049574096902,0.207106543660428,4.83082631425415,1.3596757654057e-06,0.000120224553835335,"H3C4"
"PTBP1",2341.60717218886,0.660590359050663,0.138383505936212,4.77362063189209,1.80943083098495e-06,0.000158681151317278,"PTBP1"
"GPN2",464.1542179057,0.983746546143014,0.206663174286681,4.76014437278685,1.9345452581627e-06,0.000168273981439697,"GPN2"
"AP1M1",1161.07270964592,0.690083815354334,0.145879437696711,4.73050778265984,2.23958940290914e-06,0.000193236830820362,"AP1M1"
"BTBD8",231.249855193703,-1.19526344447612,0.253141170638461,-4.72172677981017,2.33850689553694e-06,0.000200157482202798,"BTBD8"
"ZBTB25",751.873029817053,-0.904804828115632,0.192291043871674,-4.70539246081298,2.53378042220191e-06,0.000215150132834431,"ZBTB25"
"ACTR10",6.73791176908158,7.81973815417628,1.66713314823404,4.69053006501583,2.72498183008678e-06,0.000227770160938269,"ACTR10"
"SLC22A17",718.037860937889,0.808531991352358,0.17234376946198,4.69139089783414,2.71353961298482e-06,0.000227770160938269,"SLC22A17"
"GAP43",70.0284148952319,2.33316172251191,0.499174688813085,4.67403851757708,2.95333905591947e-06,0.000244238365202099,"GAP43"
"SLC22A12",56.130600335912,1.8708886495826,0.400357461691042,4.67304553705652,2.96765935847021e-06,0.000244238365202099,"SLC22A12"
"PTGER4",391.528482807804,-0.996330447618067,0.213328765212772,-4.67039898076724,3.00615288681306e-06,0.000245517784244374,"PTGER4"
"TEX22",25.4220775412297,3.67679031665872,0.788132975650433,4.66519030449694,3.08331549892756e-06,0.000249912064568379,"TEX22"
"DDB2",286.48506509608,1.11394581096667,0.240849936855746,4.62506166914153,3.74486963747508e-06,0.000301250828957488,"DDB2"
"LINC00997",119.762604118051,-1.46540155781887,0.318842788549339,-4.59600031879694,4.30678038198882e-06,0.000343867487364913,"LINC00997"
"C19orf25",224.235661083349,1.32893894910855,0.289385915630072,4.59227238552742,4.38445592403805e-06,0.000344699641258279,"C19orf25"
"KANK1",929.963784855527,-0.681751204076862,0.148437498201072,-4.59285027260005,4.37232772914077e-06,0.000344699641258279,"KANK1"
"PWWP3B",131.023908755071,1.28423631121783,0.279736546789666,4.59087783114532,4.41385651485038e-06,0.000344699641258279,"PWWP3B"
"SLBP",213.219030319343,1.02232208566849,0.223578611657142,4.57253973486614,4.81847810513581e-06,0.000373571719180058,"SLBP"
"NRM",2840.24241307135,0.701251733315962,0.153644183222877,4.56412809522846,5.01574484481702e-06,0.000386068015069764,"NRM"
"ARRDC1",5.90554907257748,7.62298034597505,1.67398161408495,4.55380171552363,5.26850179590351e-06,0.000402626433674083,"ARRDC1"
"SZT2",147.869607188032,1.26395549919324,0.277769422573475,4.55037666667181,5.35499679324275e-06,0.000406334118375207,"SZT2"
"LSAMP",91.0614446132173,1.52195862369526,0.33466256768721,4.54774083105032,5.42248530665542e-06,0.000408557537295115,"LSAMP"
"KIDINS220",104.738674467164,-1.493410913051,0.329029680472928,-4.5388334295692,5.65662963688578e-06,0.000423218744650636,"KIDINS220"
"GLS2",329.563242254073,-0.958573299207239,0.211451044360357,-4.53331078173173,5.80662830799462e-06,0.000431424418522461,"GLS2"
"MRTFA",132.999186040957,1.4377643057731,0.318220147355756,4.5181435484842,6.23841864705813e-06,0.000458507839496928,"MRTFA"
"SMIM14",384.229816537695,-0.947075208854993,0.209645015231253,-4.5175183765295,6.25685994640167e-06,0.000458507839496928,"SMIM14"
"FLAD1",775.864144338175,0.837771359043551,0.185518990918042,4.5158253335566,6.30706354376817e-06,0.000459042672481467,"FLAD1"
"AP3D1",1022.61151895219,0.828063348218074,0.183632467775961,4.5093515228927,6.50260858969268e-06,0.000470077089872446,"AP3D1"
"SEH1L",1103.95805245765,0.724727491190768,0.161035484356007,4.50042109718244,6.78189757938547e-06,0.000486976659072786,"SEH1L"
"ZNF252P-AS1",242.342261032891,1.5016571723842,0.334771731685822,4.48561521255768,7.27038469381699e-06,0.00051857230559432,"ZNF252P-AS1"
"H2BC10",2735.40744225779,0.793557587726477,0.177127277927061,4.48015459286433,7.45889952536816e-06,0.000528495139217973,"H2BC10"
"AKAP5",1198.13849939475,-0.865950562341492,0.194470521012625,-4.4528628700762,8.47328732218336e-06,0.000596261243478621,"AKAP5"
"TRAF4",991.920442368969,-0.764502986592803,0.171740069684574,-4.45151203208968,8.52677542314506e-06,0.000596261243478621,"TRAF4"
"H2BC9",2861.29436986552,0.830609013383135,0.186807076503825,4.44634662095431,8.73429770604007e-06,0.000606806825694304,"H2BC9"
"LOC105369147",489.673220615437,0.786380588989629,0.177047131974954,4.44164545461754,8.92735687436478e-06,0.000612267892300184,"LOC105369147"
"PGAP3",128.690368803467,1.51000836414574,0.339933072955288,4.44207546802707,8.90952980086579e-06,0.000612267892300184,"PGAP3"
